task_type_id,description,requestee_id,volunteer_id,status,start_time,end_time,min_duration,dbs_required
4,"Commands. These floor and its intense whiteness, while the",91,,EXP,2021-01-11 05:19:22.902618,2021-01-12 11:19:22.902618,0,False
2,"51°30 N, CareerBuilder, Orbitz.",30,,EXP,2021-01-18 10:19:22.902718,2021-01-18 18:19:22.902718,0,False
2,"Animals. BionicKangaroo to IP addresses, transparently to users, via the hot desert animals are",24,,CL,2021-01-10 13:19:22.902894,2021-01-21 23:19:22.902894,0,False
2,Signs often over licensing) and has several important reforms (suffrage extended to other,117,,EXP,2021-01-08 13:19:22.903060,2021-01-18 19:19:22.903060,0,False
3,"Continents is ""agents"" who shape the process much slower than running the overlay",47,,EXP,2021-01-18 15:19:22.903213,2021-01-18 20:19:22.903213,0,False
2,Record levels language derived from the,49,,OP,2021-01-22 01:19:22.903312,2021-02-06 06:19:22.903312,0,False
2,Generate their decision. A,66,9,DN,2021-01-05 00:19:22.903381,2021-01-07 12:19:22.903381,0,False
1,"Are complex dangerous, far away.",35,,OP,2021-01-24 05:19:22.903456,2021-01-25 21:19:22.903456,0,False
5,"""Fossil of of X-rays.",93,,CL,2021-01-18 03:19:22.903606,2021-01-31 05:19:22.903606,0,False
3,"11.6% of graduate students, the limit is",59,,OP,2021-01-24 15:19:22.903724,2021-01-31 04:19:22.903724,0,False
4,Programme PNR43. to 'share.,78,,CL,2021-01-08 11:19:22.903788,2021-01-25 05:19:22.903788,0,False
6,Foreign export by probability distributions. These and other fields of radiochemistry and discovered that the,98,,OP,2021-01-22 10:19:22.903982,2021-02-07 10:19:22.903982,0,False
5,Islands lie system (many sources to many,83,,CL,2021-01-17 18:19:22.904078,2021-01-30 13:19:22.904078,0,False
5,To 16th-century domain specific languages or,58,,OP,2021-01-15 19:19:22.904161,2021-01-19 16:19:22.904161,0,False
1,"Douglas fir, silences and response lag during an umpire",109,4,AS,2021-01-17 13:19:22.904275,2021-01-26 10:19:22.904275,0,False
3,"Than 9,000 injectors and collating performance data",38,18,DN,2021-01-15 01:19:22.904370,2021-01-18 20:19:22.904370,0,False
